n_adults,n_youth,n_kids,gross_income,disposable_income
3,,1.0,25.68302069166141,2313.9200000000005
2,,1.0,526.3734436340986,1700.0242601424743
1,1.0,1.0,333.18478578054555,1368.322665138451
3,,,7629.033526460351,5083.66976683288
2,,3.0,988.7969838101252,2746.4110958185447
2,,2.0,13284.58159493023,8059.353803508015
6,,,25868.76096726177,14374.509464246568
4,,,11915.575428687023,6463.5021329775045
1,,,2426.0343186057034,1988.204819962387
3,,,6023.552125069392,4536.828635932006
2,,2.0,8440.352100276552,5858.998159796462
4,1.0,,5698.65657889647,4840.06731568979
2,,,4468.528770865828,4441.015815313291
1,,,1442.6012062102698,1176.1159711850282
2,,2.0,7761.325503193172,5218.896827425331
2,,,232.79809962292666,232.79809962292666
2,,,1828.3928907933625,1591.7699688961181
2,,,23.75430413614051,1137.9005111599943
2,,,6547.267759248851,6467.715971259891
2,,1.0,6537.015971333449,4342.5303736238475
2,,,12341.857692903826,7501.215195475779
2,1.0,,14074.742982570866,8299.866608880031
2,,2.0,7294.039446162067,5079.746512797433
2,,,160.33484072998698,160.33484072998698
3,2.0,2.0,226.01979955023387,3467.2158410165553
2,,,6116.2955171667645,4574.2588365055035
2,,,5375.324649340266,3392.2826355967513
2,,,2081.3042978833005,1855.8356059078988
1,,,13670.349219764821,7357.743991513224
1,,,1438.734580821475,1127.1782283089428
1,,,33.30926066102406,692.6024746346612
1,,,4493.955304936531,4147.689422469195
2,,,3019.458789004134,2523.031312152233
2,,2.0,10511.748840607406,7290.704989748807
3,1.0,,19283.46567706733,11254.059065912996
2,,,3616.7812812030124,3308.013004288387
2,,,1526.8947190619142,1358.867966357588
2,,,4808.947391518361,3216.748510888658
2,,,12125.976958592093,7088.530698593469
1,,,1501.8938507477687,1089.6135060793613
3,,,8619.728987149176,5202.518103720907
3,,2.0,5536.669075281304,5058.889436374646
5,1.0,,6832.531217042952,5716.974356389208
2,,2.0,7087.125895354693,5366.866549874437
1,,,2116.414648516757,1434.0335400770784
2,,,6132.601769416227,4898.356354608188
2,,1.0,18.581623690840058,1756.516663680646
2,,,277.8402530934909,277.8402530934909
2,,3.0,1382.3085856137122,2547.7723620625934
2,2.0,3.0,87.64302773009203,2865.336320565825
1,,,5612.456585770164,3071.013233766463
2,,,3025.5233981655006,2741.919744741147
1,,3.0,118.10227422103198,2004.4909302148021
1,,,2759.795549821669,2727.2741035255362
2,,,10269.149366776774,5790.780643806393
2,,,0.0,1072.0
1,,,0.0,506.0
2,1.0,3.0,6367.889565639008,5376.145615816434
2,,,5090.997823229776,2614.782385876031
1,,2.0,10857.209096165236,9034.31049619877
2,,,2913.1898233063393,2587.8653774855097
2,,,2947.461704408807,2404.5711824022874
3,,,414.02938258952724,1772.9759263938308
1,,,777.5239483008874,692.3861562637677
2,,2.0,71.9609472388301,1644.0
2,,,18951.467007503423,11570.777524969692
2,,3.0,14693.560386408122,10216.095015214874
3,,,213.13190543143162,933.8918495496465
3,,,3973.4590957549,2922.3217588200678
2,,2.0,7471.2039442232435,4882.630971463685
1,,,114.04349531881712,463.1666666666667
2,,,3723.6795810474255,3390.3066755345917
1,,1.0,262.7221883762089,1261.76
2,,2.0,6699.253803674125,5261.524406439771
1,,,368.6370186942482,821.0
2,,,12607.84107284572,8080.4678714882275
2,1.0,,83.3318394887597,1543.9116535439634
1,,,2652.780032508736,1693.4075238976352
2,1.0,,650.7011821567842,1589.1993566232002
2,,,4370.84539449459,3090.9884465903933
2,,,2161.4610514139063,1926.9546919287836
2,,,735.0178397999858,1642.9122113712033
2,,1.0,7126.6546214222635,4164.232358551915
1,,1.0,732.8388719608616,1503.4462433516246
1,,,1825.4057397395663,1810.8418954092842
1,,,1374.1245324802371,1257.448472414033
1,,,345.585276136045,345.585276136045
3,,2.0,6096.533278891422,4465.420432944268
2,,2.0,6609.478088942043,4522.412528575572
1,,,98.78110450558567,1136.0
2,,,4018.545338320534,2960.0469156558524
2,,,1283.6623009840089,1669.4983481021652
2,,1.0,241.1952125594265,1444.0590693521906
1,,,2318.6596102023996,1585.0882102839034
1,,,18.991688788406258,758.0140838629318
2,,1.0,14953.759669698933,8403.656052235625
2,,1.0,2009.3457522021522,2293.5818860347936
2,,,432.41383715344153,856.4517325189156
3,,,4683.786288547042,3781.822993574462
2,,,7624.881390154107,4369.545083530918
1,,,1722.226397715994,1504.71634150224
4,,,9117.46672955904,5918.311377365291
1,,,1318.5388689037713,1216.3336323554902
2,,,5813.266425045084,3611.1945058329648
2,,,4665.4466897420425,4112.646036003793
4,,,2735.025147653421,1848.5316732198335
1,,,831.4041327467871,739.1182740118937
2,,1.0,4081.2884171272667,2544.4362151242226
2,,,11219.484480323978,6176.516986365478
2,,1.0,10914.893004931619,6401.337051485181
3,,,3221.828966328015,2594.4875343115696
2,,2.0,2386.0856010063712,2669.834748908057
4,,,7243.236281083969,5118.671954726049
1,,,620.2091568476253,980.0418313695252
3,,2.0,717.8292625013759,2667.952999031053
2,,,2649.3749751826917,2230.4965680281925
2,,4.0,2378.118260192074,3215.7146250130268
1,,,1532.163499803958,1108.57143519786
2,,,1924.6341528090568,1721.1275838454264
1,,,0.0,866.0
1,,1.0,53.634762888207334,442.8111946490353
1,,,2428.2036830948377,2002.8878336184252
2,,,2147.7594036790847,2029.511176956174
2,,2.0,3446.354657650211,3310.747834233896
2,,,20591.88410635636,14564.704382677173
4,,,8069.405279513037,5183.363393425045
3,1.0,,173.98479795022877,2014.0548755391624
1,,,420.63969334336366,835.1013336151858
1,,,0.0,731.0
2,1.0,2.0,1486.6375198923797,3291.9527701582547
2,,,4156.234226745557,2339.841936468112
2,2.0,3.0,760.9487123337307,2888.500295246304
2,,1.0,9382.208678301939,6629.511678257899
3,1.0,,3375.5735007051235,3123.522630225189
2,1.0,1.0,17897.616662476703,10871.484908588554
2,,,4085.2267887002445,3154.135328346832
4,,,259.4642138435105,2042.514294663967
2,,2.0,4549.374827320839,3743.692737759157
1,2.0,1.0,1823.405833439398,2847.5796187738174
2,,,2811.164807311631,2438.0403854466003
2,,,2407.030916607321,2287.324779505501
2,,,5279.148450800654,3956.486834087975
1,,,3915.3355612615032,3243.5618443695735
3,,4.0,6180.018474846928,5562.155456094408
2,,1.0,4708.306669555497,3622.4813095914324
1,,,85.4068584313947,685.8241160828547
2,,4.0,8382.779747219109,6464.6402759462835
4,1.0,,8598.676358315812,5562.871011093903
2,,,346.328853545799,342.7469280582883
2,,3.0,93.34919601396199,2405.9098128720734
1,,,989.7743132253154,1333.954862645063
2,,4.0,1375.804368826303,2829.4850359538596
2,,,270.9988763393995,270.21708804259436
2,2.0,1.0,6848.8404045834095,5337.587810230362
2,,,3105.6442350056077,2521.8151650563655
1,,3.0,84.27276792201727,1691.122077957494
2,,,4311.185139060144,3256.963853882855
2,,3.0,355.44179603270015,2309.6905528732304
1,,,1490.470292162001,1329.366001648957
2,,2.0,494.042039885399,2914.3193268398704
2,,3.0,7752.482490250266,5814.398684356727
3,,,17287.583622282615,9566.100640899407
1,,,4087.721803753216,2325.0240248642135
2,,,9484.650006640977,6625.793017997424
2,,,6434.537422941589,6256.404924722914
1,,,1854.408405838506,1717.8958751313326
1,,,602.4641172753868,705.290171058403
2,,,11909.720941797224,6332.814123833916
3,,,179.1182973349194,1070.2606275359467
2,,,3068.0003597027076,1688.8161401717748
2,2.0,3.0,133.9243487866443,2872.6112259589663
3,,,12988.489799172008,7751.009332750819
1,,,1896.6922969371842,1320.4765900215027
1,,,4669.418555991271,2571.867331975291
1,,1.0,25.948015392091214,1180.9470712849343
1,,,1641.5009293885805,1459.294326226448
5,1.0,,15542.900412275903,10213.62684298502
1,,,3993.9909446183283,2251.060970843973
2,,,12464.224313916131,6475.308068706969
2,,,6347.08164198366,3810.150210022837
3,,,4787.469859427752,3116.844648701872
1,,,124.03146385609111,418.16666666666663
2,,,2892.876238376405,2227.786270574255
2,,1.0,19007.84466351072,12498.293807896902
2,,1.0,5284.015994253245,3810.7563104960286
3,1.0,,1807.3875012674096,2352.438494312692
4,,,3503.7861435355053,3207.745108250998
1,,,2159.9032420542553,1433.916865911788
3,,,2379.7782437654864,2238.854221739546
2,1.0,,132.480097465781,1483.025775768928
1,,,20071.47540439031,10917.510082167602
1,,,38.90432770723844,769.9043277072384
1,,,1291.692545294462,1210.94664477075
2,,1.0,7427.825941133097,5117.344143907152
2,,,2290.2243159274235,2091.4210745318023
1,,,905.0161049512377,830.642942831754
2,,,348.8103442326394,1215.8879066316138
2,,,1283.3431074887353,1048.0
2,1.0,3.0,193.0688484538118,2538.01031648735
2,,,9151.096425594986,5482.320122733878
3,,,7992.997111118112,4802.532950095303
1,,2.0,1055.9755084053897,1969.6487069246525
4,2.0,,7835.784727056231,6259.010752176186
1,,,25.75692093660536,866.0
1,,,0.0,596.0
1,,,1197.4749842401418,1112.1436519840665
2,,,1804.4877611965856,1610.4753996530126
2,1.0,,589.3755630554158,1731.7971051487136
1,,,3158.6481379702095,3023.774656524446
2,,,2657.148409900167,2384.3388157036134
1,,,6847.910103881913,3810.5774316247152
10,,,400.1615930429765,5063.656962810479
1,,,58.483610152591076,776.0477815516435
2,,,3149.1720316002456,2742.883424933888
1,,,1376.6055031230424,1198.567266791645
2,,2.0,9125.888830570728,6352.15391584868
2,,,2900.790047966571,2576.9553913067048
2,,,2669.382158238656,1762.4671103931012
2,,,2588.024130662204,2175.780677296236
2,,1.0,1110.1920286396394,2003.3386619057428
2,2.0,4.0,261.9269498934809,3490.3771810145354
2,,3.0,3201.685899448007,3040.586602966181
2,,1.0,33.5282590089634,1777.9200000000003
2,,,2990.189348093591,2638.379976490896
3,,2.0,1760.1999496637798,2074.796728930096
1,,,6731.433757882447,3594.9002043281766
1,1.0,1.0,86.33825878296818,1653.5331969410495
2,1.0,,1683.2065187049109,2184.8594117537336
3,1.0,2.0,3196.259014498523,3375.075985799768
2,,,2591.67061941103,2304.8370213993967
2,,,4512.6412965458,4188.957636109029
1,,,1457.171709092346,1299.0798112749674
1,,,2898.145244559235,2312.0044638326103
1,,,0.0,771.8109442475093
2,,,4010.7089435702483,3894.7335689114493
3,,,1870.945278741751,2563.8832950208307
2,,2.0,12053.783411007913,7374.999748715603
2,,,3181.842854710404,2841.7331964941177
1,,2.0,3427.220711826055,3651.5992235202652
2,,,4174.249961165087,2705.6413698821034
2,,,5428.076832827628,3536.547778556597
1,,,1512.2802863522984,1097.957366421713
2,,,3023.9907979337577,2747.494829767506
2,,,9175.292074628878,5032.467578886879
3,,,8848.053533120543,5899.82188486613
2,2.0,1.0,16192.955062937868,9672.072048981252
3,,,9808.608131372006,6275.608310449178
3,,,3025.3170561206275,2738.6668413040634
2,,,2318.1069131778854,2067.7945374691026
2,,,2651.11785581354,2336.8272507184697
2,3.0,8.0,784.3693594776116,5186.452408142215
2,,,3140.344039978083,3059.5500482962752
1,,2.0,335.2523004901172,1610.8776711476598
3,1.0,2.0,157.320088570371,2981.6000000000004
2,,,5151.053138980915,3265.7697307822013
2,,,1644.5287695921195,1387.555258915905
1,,,2428.7914604964103,1563.091582190371
2,,1.0,3086.744032430269,2626.176107983931
2,2.0,,3892.4478588690895,3072.823818658568
2,,,6539.909976756959,3900.516744196465
2,,2.0,436.53884911169496,2236.474056633955
3,1.0,,16.51256581231528,2149.5908886593234
2,,1.0,40.84074103822222,1709.8607800246066
2,,2.0,43.152138922250245,1885.3024263616596
2,,,7117.548297926098,4179.7540008074975
2,,,1141.8629911859794,1017.9708566423006
4,,,9108.203989629417,6920.665261243681
2,,2.0,10953.891142939068,7119.66226226212
1,,1.0,23.669251639669778,1190.4093668159626
1,,2.0,83.47209246383906,1605.3398292918228
4,2.0,2.0,221.26343554514494,3799.811204929759
2,,,1941.2066439361565,1982.3161404826124
1,,,0.0,650.2139336808275
1,1.0,1.0,2628.4276358025086,2589.503171342354
1,,,78.49164504730389,644.1796202188826
1,,1.0,102.8996531894523,1423.8184368677694
2,,,282.4958745529096,744.9781970765534
9,,,0.0,4393.43556954816
3,,,4063.2236929726505,2803.957560156855
2,,,6014.090449457647,4266.625054415395
2,,3.0,1643.297827589101,2695.299450657485
2,,,1970.1166990059667,1333.3202638411829
3,,,4685.9760222174245,3233.3415919650524
2,,,2527.13164400372,2257.361837093429
2,,,3202.7020954227955,2856.5680459198584
2,,,12993.402714101723,7050.139378919242
2,1.0,1.0,30.01780215716181,2236.3353805182446
2,,2.0,4204.658583447508,3664.5332241608585
4,,,26517.17647212517,14612.42898813456
1,,,776.3863075969261,861.3863075969261
1,,,1724.303404971041,1632.5481701864917
2,,,12326.540650054254,6414.650754708893
1,,,4745.572499518643,2616.9613821745615
1,,,109.65084006154724,109.65084006154724
3,,,17524.37842844064,9785.400278330631
1,,1.0,111.32491565809161,332.19241743941666
4,,,7427.924157912671,5151.593136541632
2,,3.0,2536.3388229120205,2854.0002221988993
2,,,8877.566332232884,4688.413339895804
1,,,441.7236157678559,920.7948577027007
2,,2.0,6983.578671826264,7465.784980533552
3,1.0,3.0,112.36960942565796,3392.0
1,,,1656.1405942707536,1553.5928976987077
2,,3.0,4991.588684218607,3964.7294028426895
2,,4.0,106.59176469151744,2281.0099207570634
2,,1.0,7562.949488092821,4882.821365537481
2,,,11148.748571388374,8899.504064908158
2,,,13921.484994708331,7807.104212895079
1,,1.0,100.45551279155762,922.247519787613
2,,2.0,2838.125925516066,2518.208912356533
1,,,1309.1632316100734,985.1483150904958
2,,1.0,6417.3640163122745,4261.265808212465
2,,,1414.9756488047205,1396.3193374789112
2,,,1393.645963260829,1242.4353762470291
2,2.0,1.0,4682.168012089877,4686.978551431847
1,,,1812.3067835940728,1330.7809580734502
