,hhincome
15743,5107
15751,67193
15752,1610
15755,31938
15756,44452
15765,85017
15791,12000
15800,60008
15801,32663
15807,53966
15808,31201
15813,55001
15829,2038
15830,34810
15875,19260
15895,22925
15896,36030
15901,53852
15910,37000
15925,55272
15942,13000
15958,0
15961,127128
15971,69161
15975,46610
15978,85005
15986,15002
15987,13557
16009,0
16010,15540
16027,150
16058,85207
16082,75000
16094,45001
16095,41580
16096,28000
16103,12108
16194,5760
16195,30000
16196,45000
16204,0
16205,52099
16206,3600
16207,13104
16210,82676
16215,323103
16239,37000
16240,13200
16241,10800
16250,15815
16253,70502
16260,19781
16261,133070
16270,14400
16271,10008
16272,0
16281,79000
16284,32007
16304,17676
16312,24000
16313,21180
16318,300002
16319,53000
16361,77000
16362,15960
16365,108004
16376,32352
16377,43000
16378,73029
16392,26000
16393,12000
16401,14400
16402,10968
16412,24625
16423,101800
16428,13921
16432,118079
16436,19587
16450,36000
16455,60000
16469,137266
16470,90500
16489,1840
16500,129752
16509,31718
16512,96685
16515,17643
16525,24430
16531,21432
16532,17170
16536,90613
16542,62330
16543,0
16559,70000
16566,170420
16569,35000
16570,60000
16588,58777
16589,1002302
16593,54000
16611,17593
16616,5629
16632,40000
16644,50000
16647,123200
16648,42000
16656,161740
16661,117010
16689,136352
16690,0
16691,60147
16694,53024
16697,50230
16720,30005
16737,80000
16743,87546
16771,22086
16772,92220
16793,54001
16856,49600
16873,300
16905,76102
16906,12552
16907,48319
16978,53241
16993,29130
17006,18774
17007,17064
17031,23486
17048,73403
17049,114342
17052,160230
17057,21
17064,75060
17075,12252
17076,0
17080,22810
17081,71040
17123,114646
17144,20125
17163,175988
17180,26511
17187,106224
17188,25000
17209,33210
17214,25211
17215,52120
17228,102106
17243,98157
17255,49412
17259,26972
17262,90245
17297,84826
17298,19285
17314,110021
17325,73051
17359,30000
17369,118079
17375,48515
17376,80132
17402,15571
17405,13800
17412,0
17413,68100
17429,41749
17456,15481
17457,40268
17470,634
17492,183115
17532,31800
17533,27168
17550,22904
17565,38713
17568,44802
17569,10704
17596,20711
17613,128002
17626,193711
17627,90317
17654,71400
17670,45251
17709,10400
17717,4800
17723,25320
17738,12120
17750,80007
17763,36048
17780,0
17823,60010
17824,162320
17825,105304
17828,221160
17868,242085
17871,63221
17891,43584
17908,100268
17944,13000
17945,491255
17952,30000
17953,22020
17967,2700
17976,406600
17984,17751
17994,39053
18029,125412
18062,25320
18063,26040
18064,27622
18093,38654
18096,62692
18100,164000
18108,50443
18113,78071
18118,95661
18125,86310
18163,26972
18167,95002
18177,19872
18185,49674
18186,23926
18187,44400
18188,12000
18189,60208
18193,132031
18202,56001
18203,29752
18242,25574
18245,120101
18264,61142
18265,38580
18266,32000
18271,16102
18290,12433
18301,16441
18356,15000
18360,19200
18376,86313
18395,20930
18419,80050
18443,122177
18444,72001
18448,100681
18451,28200
18457,70001
18461,45052
18475,67507
18476,75171
18477,20002
18480,95000
18513,23641
18561,50000
18568,0
18575,16442
18581,32000
18586,21659
18587,18241
18588,14077
18604,41101
18605,36117
18608,41797
18612,18936
18613,19640
18632,21965
18668,78500
18669,52192
18670,29843
18678,22968
18692,59607
18693,17940
18702,200
18705,10968
18715,79000
18732,58005
18741,13201
18747,41064
18748,9890
18763,17503
18766,17451
18769,44344
18778,15181
18785,16180
18802,24000
18831,43320
18832,63101
18839,25010
18840,85647
18843,80040
18846,25276
18847,19958
18881,50000
18882,81900
18886,68000
18921,13704
18922,59892
18940,70813
18949,29282
18954,12863
18978,21966
18983,90194
19023,40000
19054,23641
19064,23641
19068,44009
19080,3737
19081,103060
19084,38900
19100,10200
19108,34202
19115,28380
19120,73675
19137,170763
19156,61025
19157,48673
19171,14101
19187,14737
19203,30025
19254,10293
19255,0
19262,13740
19263,59950
19268,15036
19272,44441
19278,17644
19298,56514
19299,29152
19303,80024
19315,32505
19318,19690
19379,7365
19393,38940
19394,22680
19401,20882
19408,56401
19462,55044
19465,50800
19466,1001499
19476,32070
19477,95071
19480,16541
19481,55988
19482,13322
19485,81821
19486,47976
19528,-3686
19536,15001
19537,15192
19540,12030
19541,50000
19549,143601
19550,48480
19551,9241
19556,17640
19557,7585
19568,15373
19575,30000
19576,6721
19604,24999
19613,80002
19628,16837
19636,23200
19640,177055
19643,18452
19644,9610
19645,51627
19655,20412
19693,17641
19698,57493
19710,42230
19711,38001
19718,30000
19727,10981
19735,37000
19740,49800
19745,10800
19790,22261
19791,40813
19792,25000
19793,8007
19794,27000
19799,21000
19800,32591
19822,224200
19840,55082
19841,22148
19844,24843
19847,22509
19852,50600
19862,18002
19871,33797
19881,89241
19882,65342
19885,46848
19888,15000
19892,60340
19893,60240
19909,20000
19914,35420
19915,12360
19916,19769
19929,60282
19961,15001
19962,31880
19975,73001
19984,81381
19985,13686
19986,68553
20002,55501
20003,50005
20004,67001
20012,75598
20013,6822
20014,62372
20015,130131
20018,40021
20019,-9593
20020,72391
20027,2533
20028,148940
20029,135398
20030,11642
20038,0
20039,28896
20103,54023
20104,70059
20105,23205
